timestamp,station,pump,sequence_position,pump_status,operating_state,station_pressure_psi,station_flow_pct,pump_load_pct,running_hours_total,start_count_total,elmot_de_h_mm_s,elmot_de_v_mm_s,elmot_de_a_mm_s,elmot_nde_h_mm_s,elmot_nde_v_mm_s,elmot_nde_a_mm_s,pump_de_h_mm_s,pump_de_v_mm_s,pump_de_a_mm_s,pump_nde_h_mm_s,pump_nde_v_mm_s,pump_nde_a_mm_s,vibration_max_mm_s,temp_elmot_de_c,temp_elmot_nde_c,temp_pump_de_c,temp_pump_nde_c,temp_max_c,health_label,failure_mode,event_id,hours_to_failure,data_source,notes
2025-08-01 02:00:00,Batang Station,C,3,OFF,OFF,78.71,51.64,0,1516.4,311,0.034,0.032,0.038,0.048,0.044,0.033,0.045,0.041,0.052,0.04,0.039,0.036,0.052,29.7,29.9,29.6,29.2,29.9,HEALTHY,,,,SYNTHETIC,
2025-08-01 02:00:00,Batang Station,D,4,OFF,OFF,78.71,51.64,0,1087.2,317,0.023,0.038,0.027,0.032,0.037,0.052,0.047,0.036,0.025,0.043,0.044,0.033,0.052,28.3,29.6,28.8,30.0,30.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 03:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,76.08,49.7,60.47,926.6,250,0.293,0.418,0.369,0.421,0.343,0.429,0.512,0.428,0.496,0.545,0.444,0.481,0.545,47.2,41.8,54.0,65.0,65.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 03:00:00,Batang Station,B,2,OFF,OFF,76.08,49.7,0,1037.6,192,0.037,0.045,0.029,0.047,0.036,0.045,0.041,0.041,0.031,0.031,0.034,0.03,0.047,29.9,30.3,29.8,30.5,30.5,HEALTHY,,,,SYNTHETIC,
2025-08-01 03:00:00,Batang Station,C,3,OFF,OFF,76.08,49.7,0,1516.4,311,0.037,0.045,0.026,0.042,0.033,0.049,0.039,0.037,0.045,0.052,0.051,0.036,0.052,30.0,29.4,29.5,29.1,30.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 03:00:00,Batang Station,D,4,OFF,OFF,76.08,49.7,0,1087.2,317,0.046,0.036,0.043,0.021,0.031,0.041,0.039,0.025,0.04,0.053,0.031,0.026,0.053,29.6,30.0,29.5,30.6,30.6,HEALTHY,,,,SYNTHETIC,
2025-08-01 04:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,82.85,58.35,71.37,927.6,250,0.502,0.455,0.439,0.478,0.414,0.419,0.547,0.463,0.426,0.592,0.492,0.542,0.592,46.9,43.4,53.5,62.9,62.9,HEALTHY,,,,SYNTHETIC,
2025-08-01 04:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,82.85,58.35,69.51,1038.6,193,0.478,0.45,0.381,0.499,0.4,0.512,0.493,0.503,0.435,0.433,0.452,0.486,0.512,38.3,36.6,42.0,44.2,44.2,HEALTHY,,,,SYNTHETIC,
2025-08-01 04:00:00,Batang Station,C,3,OFF,OFF,82.85,58.35,0,1516.4,311,0.051,0.021,0.037,0.042,0.049,0.035,0.028,0.031,0.02,0.032,0.032,0.037,0.051,29.7,30.4,29.9,29.9,30.4,HEALTHY,,,,SYNTHETIC,
2025-08-01 04:00:00,Batang Station,D,4,OFF,OFF,82.85,58.35,0,1087.2,317,0.04,0.022,0.031,0.044,0.038,0.058,0.033,0.052,0.033,0.027,0.033,0.061,0.061,27.6,27.7,27.7,28.6,28.6,HEALTHY,,,,SYNTHETIC,
2025-08-01 05:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,94.94,71.84,73.26,928.6,250,0.48,0.425,0.383,0.467,0.503,0.414,0.6,0.423,0.48,0.562,0.474,0.481,0.6,48.3,41.4,53.8,61.8,61.8,HEALTHY,,,,SYNTHETIC,
2025-08-01 05:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,94.94,71.84,74.77,1039.6,193,0.463,0.418,0.475,0.417,0.497,0.403,0.535,0.478,0.431,0.533,0.413,0.451,0.535,37.9,34.3,43.5,42.9,43.5,HEALTHY,,,,SYNTHETIC,
2025-08-01 05:00:00,Batang Station,C,3,OFF,OFF,94.94,71.84,0,1516.4,311,0.031,0.037,0.043,0.05,0.056,0.038,0.043,0.04,0.049,0.035,0.041,0.049,0.056,28.6,28.6,29.4,29.1,29.4,HEALTHY,,,,SYNTHETIC,
2025-08-01 05:00:00,Batang Station,D,4,OFF,OFF,94.94,71.84,0,1087.2,317,0.037,0.041,0.047,0.05,0.044,0.036,0.034,0.053,0.052,0.034,0.037,0.039,0.053,29.3,29.3,28.6,28.0,29.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 06:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,78.14,53.62,71.77,929.6,250,0.469,0.462,0.397,0.4,0.471,0.373,0.582,0.527,0.441,0.537,0.43,0.549,0.582,45.8,42.9,56.2,65.1,65.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 06:00:00,Batang Station,B,2,OFF,OFF,78.14,53.62,0,1039.6,193,0.036,0.025,0.037,0.043,0.053,0.047,0.046,0.036,0.035,0.046,0.031,0.038,0.053,27.8,29.0,28.2,27.8,29.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 06:00:00,Batang Station,C,3,OFF,OFF,78.14,53.62,0,1516.4,311,0.051,0.035,0.035,0.029,0.049,0.037,0.042,0.046,0.039,0.074,0.038,0.038,0.074,28.3,28.3,28.0,27.2,28.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 06:00:00,Batang Station,D,4,OFF,OFF,78.14,53.62,0,1087.2,317,0.028,0.037,0.047,0.043,0.04,0.036,0.03,0.047,0.036,0.053,0.053,0.039,0.053,26.8,27.3,27.0,26.7,27.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 07:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,93.51,65.63,68.85,930.6,250,0.423,0.431,0.449,0.371,0.435,0.452,0.527,0.459,0.455,0.526,0.413,0.48,0.527,47.8,40.7,55.5,62.2,62.2,HEALTHY,,,,SYNTHETIC,
2025-08-01 07:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,93.51,65.63,69.23,1040.6,194,0.418,0.453,0.522,0.427,0.426,0.484,0.462,0.478,0.483,0.525,0.482,0.492,0.525,36.6,34.1,42.3,44.3,44.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 07:00:00,Batang Station,C,3,OFF,OFF,93.51,65.63,0,1516.4,311,0.044,0.058,0.031,0.054,0.054,0.044,0.042,0.051,0.041,0.029,0.039,0.057,0.058,28.4,29.5,29.3,29.1,29.5,HEALTHY,,,,SYNTHETIC,
2025-08-01 07:00:00,Batang Station,D,4,OFF,OFF,93.51,65.63,0,1087.2,317,0.035,0.035,0.044,0.026,0.036,0.038,0.043,0.017,0.041,0.042,0.039,0.031,0.044,28.2,28.1,29.2,29.1,29.2,HEALTHY,,,,SYNTHETIC,
2025-08-01 08:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,84.45,63.6,68.63,931.6,250,0.519,0.471,0.394,0.436,0.442,0.451,0.552,0.382,0.511,0.569,0.418,0.479,0.569,47.8,41.5,55.0,66.2,66.2,HEALTHY,,,,SYNTHETIC,
2025-08-01 08:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,84.45,63.6,63.33,1041.6,194,0.364,0.42,0.408,0.476,0.43,0.399,0.55,0.46,0.464,0.514,0.462,0.459,0.55,37.5,35.1,40.4,43.3,43.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 08:00:00,Batang Station,C,3,OFF,OFF,84.45,63.6,0,1516.4,311,0.039,0.046,0.062,0.034,0.041,0.052,0.043,0.048,0.038,0.054,0.048,0.036,0.062,28.8,27.9,27.3,28.8,28.8,HEALTHY,,,,SYNTHETIC,
2025-08-01 08:00:00,Batang Station,D,4,OFF,OFF,84.45,63.6,0,1087.2,317,0.056,0.044,0.039,0.055,0.047,0.029,0.05,0.041,0.04,0.035,0.042,0.037,0.056,26.8,26.9,27.9,28.1,28.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 09:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,83.67,51.48,70.83,932.6,250,0.476,0.483,0.455,0.416,0.452,0.376,0.557,0.465,0.492,0.549,0.494,0.573,0.573,46.4,40.4,55.0,64.1,64.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 09:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,83.67,51.48,66.01,1042.6,194,0.414,0.477,0.457,0.4,0.446,0.495,0.5,0.471,0.429,0.534,0.44,0.467,0.534,37.0,35.5,41.0,43.8,43.8,HEALTHY,,,,SYNTHETIC,
2025-08-01 09:00:00,Batang Station,C,3,OFF,OFF,83.67,51.48,0,1516.4,311,0.052,0.046,0.045,0.036,0.046,0.038,0.021,0.011,0.058,0.047,0.042,0.024,0.058,29.6,29.1,30.4,28.9,30.4,HEALTHY,,,,SYNTHETIC,
2025-08-01 09:00:00,Batang Station,D,4,OFF,OFF,83.67,51.48,0,1087.2,317,0.065,0.035,0.056,0.056,0.037,0.038,0.038,0.034,0.031,0.038,0.038,0.051,0.065,27.1,27.2,28.5,27.9,28.5,HEALTHY,,,,SYNTHETIC,
2025-08-01 10:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,91.14,67.92,74.78,933.6,250,0.496,0.43,0.452,0.493,0.393,0.513,0.632,0.477,0.393,0.51,0.467,0.55,0.632,47.0,43.0,56.1,64.4,64.4,HEALTHY,,,,SYNTHETIC,
2025-08-01 10:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,91.14,67.92,73.26,1043.6,194,0.411,0.426,0.479,0.426,0.38,0.415,0.556,0.5,0.459,0.533,0.38,0.572,0.572,38.1,36.3,41.9,42.4,42.4,HEALTHY,,,,SYNTHETIC,
2025-08-01 10:00:00,Batang Station,C,3,OFF,OFF,91.14,67.92,0,1516.4,311,0.046,0.034,0.04,0.032,0.044,0.052,0.045,0.044,0.05,0.041,0.07,0.043,0.07,28.0,27.4,27.7,27.2,28.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 10:00:00,Batang Station,D,4,OFF,OFF,91.14,67.92,0,1087.2,317,0.065,0.052,0.022,0.043,0.035,0.027,0.027,0.045,0.059,0.048,0.034,0.04,0.065,27.5,27.2,27.3,27.1,27.5,HEALTHY,,,,SYNTHETIC,
2025-08-01 11:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,88.65,64.43,70.7,934.6,250,0.407,0.495,0.434,0.371,0.437,0.387,0.482,0.428,0.487,0.541,0.487,0.539,0.541,47.3,41.1,53.3,63.9,63.9,HEALTHY,,,,SYNTHETIC,
2025-08-01 11:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,88.65,64.43,70.84,1044.6,194,0.423,0.465,0.451,0.432,0.388,0.486,0.469,0.512,0.433,0.448,0.396,0.507,0.512,37.4,37.2,41.8,42.6,42.6,HEALTHY,,,,SYNTHETIC,
2025-08-01 11:00:00,Batang Station,C,3,OFF,OFF,88.65,64.43,0,1516.4,311,0.046,0.034,0.023,0.046,0.029,0.042,0.046,0.022,0.026,0.041,0.033,0.047,0.047,29.4,30.1,30.5,30.8,30.8,HEALTHY,,,,SYNTHETIC,
2025-08-01 11:00:00,Batang Station,D,4,OFF,OFF,88.65,64.43,0,1087.2,317,0.031,0.046,0.041,0.043,0.042,0.05,0.042,0.036,0.053,0.023,0.055,0.024,0.055,29.6,28.7,29.9,28.4,29.9,HEALTHY,,,,SYNTHETIC,
2025-08-01 12:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,95.35,69.48,83.49,935.6,250,0.48,0.516,0.502,0.507,0.443,0.492,0.601,0.442,0.466,0.592,0.434,0.579,0.601,50.3,40.5,57.5,64.5,64.5,HEALTHY,,,,SYNTHETIC,
2025-08-01 12:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,95.35,69.48,71.39,1045.6,194,0.378,0.413,0.458,0.536,0.444,0.471,0.48,0.489,0.385,0.496,0.471,0.47,0.536,39.3,36.9,43.3,45.1,45.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 12:00:00,Batang Station,C,3,OFF,OFF,95.35,69.48,0,1516.4,311,0.037,0.044,0.048,0.055,0.022,0.039,0.047,0.039,0.026,0.044,0.053,0.035,0.055,30.0,30.0,29.0,29.6,30.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 12:00:00,Batang Station,D,4,OFF,OFF,95.35,69.48,0,1087.2,317,0.04,0.038,0.037,0.053,0.032,0.025,0.056,0.03,0.042,0.041,0.041,0.047,0.056,28.8,29.2,28.9,29.7,29.7,HEALTHY,,,,SYNTHETIC,
2025-08-01 13:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,90.62,59.13,75.44,936.6,250,0.467,0.463,0.418,0.46,0.443,0.45,0.501,0.505,0.443,0.556,0.429,0.469,0.556,46.5,40.7,51.6,63.4,63.4,HEALTHY,,,,SYNTHETIC,
2025-08-01 13:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,90.62,59.13,73.07,1046.6,194,0.393,0.509,0.422,0.459,0.478,0.472,0.464,0.538,0.448,0.519,0.434,0.5,0.538,36.8,36.1,41.4,45.7,45.7,HEALTHY,,,,SYNTHETIC,
2025-08-01 13:00:00,Batang Station,C,3,OFF,OFF,90.62,59.13,0,1516.4,311,0.055,0.055,0.043,0.026,0.041,0.044,0.038,0.033,0.036,0.046,0.04,0.035,0.055,30.0,31.2,30.1,29.7,31.2,HEALTHY,,,,SYNTHETIC,
2025-08-01 13:00:00,Batang Station,D,4,OFF,OFF,90.62,59.13,0,1087.2,317,0.036,0.031,0.048,0.046,0.033,0.052,0.043,0.041,0.047,0.032,0.056,0.043,0.056,30.6,29.7,30.1,30.3,30.6,HEALTHY,,,,SYNTHETIC,
2025-08-01 14:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,96.67,63.61,72.45,937.6,250,0.518,0.456,0.397,0.46,0.451,0.458,0.551,0.477,0.447,0.553,0.385,0.526,0.553,47.2,40.3,57.1,64.1,64.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 14:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,96.67,63.61,75.15,1047.6,194,0.487,0.484,0.501,0.457,0.462,0.416,0.56,0.403,0.501,0.491,0.477,0.503,0.56,38.7,36.1,41.8,43.5,43.5,HEALTHY,,,,SYNTHETIC,
2025-08-01 14:00:00,Batang Station,C,3,OFF,OFF,96.67,63.61,0,1516.4,311,0.042,0.034,0.054,0.051,0.052,0.051,0.043,0.046,0.027,0.051,0.033,0.043,0.054,31.0,31.6,31.5,31.4,31.6,HEALTHY,,,,SYNTHETIC,
2025-08-01 14:00:00,Batang Station,D,4,OFF,OFF,96.67,63.61,0,1087.2,317,0.036,0.04,0.051,0.024,0.024,0.061,0.042,0.042,0.045,0.045,0.046,0.012,0.061,30.9,30.8,30.5,30.0,30.9,HEALTHY,,,,SYNTHETIC,
2025-08-01 15:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,97.34,72.8,80.14,938.6,250,0.45,0.449,0.442,0.439,0.493,0.505,0.57,0.405,0.461,0.607,0.473,0.577,0.607,46.7,41.1,55.0,63.2,63.2,HEALTHY,,,,SYNTHETIC,
2025-08-01 15:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,97.34,72.8,72.31,1048.6,194,0.484,0.5,0.462,0.454,0.42,0.428,0.479,0.486,0.418,0.495,0.427,0.455,0.5,38.2,36.2,43.1,44.3,44.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 15:00:00,Batang Station,C,3,OFF,OFF,97.34,72.8,0,1516.4,311,0.041,0.046,0.05,0.034,0.04,0.056,0.034,0.047,0.051,0.035,0.035,0.056,0.056,30.5,31.1,30.6,30.4,31.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 15:00:00,Batang Station,D,4,OFF,OFF,97.34,72.8,0,1087.2,317,0.039,0.041,0.035,0.035,0.038,0.03,0.029,0.059,0.034,0.047,0.037,0.041,0.059,30.6,31.6,30.8,31.8,31.8,HEALTHY,,,,SYNTHETIC,
2025-08-01 16:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,97.82,69.55,78.13,939.6,250,0.444,0.502,0.444,0.46,0.526,0.385,0.545,0.458,0.536,0.626,0.508,0.534,0.626,49.5,41.8,55.2,63.6,63.6,HEALTHY,,,,SYNTHETIC,
2025-08-01 16:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,97.82,69.55,74.4,1049.6,194,0.482,0.422,0.472,0.467,0.427,0.44,0.57,0.492,0.499,0.519,0.444,0.436,0.57,39.7,35.8,41.9,43.8,43.8,HEALTHY,,,,SYNTHETIC,
2025-08-01 16:00:00,Batang Station,C,3,OFF,OFF,97.82,69.55,0,1516.4,311,0.039,0.032,0.033,0.049,0.041,0.029,0.052,0.053,0.032,0.04,0.047,0.04,0.053,32.6,33.3,33.0,33.5,33.5,HEALTHY,,,,SYNTHETIC,
2025-08-01 16:00:00,Batang Station,D,4,OFF,OFF,97.82,69.55,0,1087.2,317,0.036,0.037,0.04,0.04,0.048,0.034,0.055,0.042,0.048,0.059,0.042,0.053,0.059,30.5,30.0,30.3,31.0,31.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 17:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,89.46,59.19,72.95,940.6,250,0.453,0.496,0.47,0.426,0.496,0.505,0.656,0.477,0.474,0.597,0.446,0.574,0.656,46.5,42.4,54.4,63.9,63.9,HEALTHY,,,,SYNTHETIC,
2025-08-01 17:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,89.46,59.19,63.52,1050.6,194,0.401,0.446,0.388,0.468,0.435,0.417,0.468,0.457,0.471,0.462,0.389,0.472,0.472,38.0,34.2,40.4,43.0,43.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 17:00:00,Batang Station,C,3,OFF,OFF,89.46,59.19,0,1516.4,311,0.033,0.06,0.049,0.027,0.039,0.024,0.041,0.055,0.044,0.045,0.034,0.02,0.06,33.1,32.9,31.5,31.9,33.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 17:00:00,Batang Station,D,4,OFF,OFF,89.46,59.19,0,1087.2,317,0.054,0.045,0.061,0.053,0.01,0.019,0.029,0.047,0.034,0.03,0.057,0.051,0.061,32.5,32.6,33.4,33.1,33.4,HEALTHY,,,,SYNTHETIC,
2025-08-01 18:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,101.65,72.28,73.39,941.6,250,0.448,0.446,0.444,0.437,0.536,0.438,0.551,0.44,0.481,0.565,0.461,0.516,0.565,46.9,41.4,55.7,65.8,65.8,HEALTHY,,,,SYNTHETIC,
2025-08-01 18:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,101.65,72.28,76.25,1051.6,194,0.44,0.487,0.48,0.453,0.443,0.458,0.478,0.508,0.528,0.545,0.449,0.434,0.545,40.1,36.2,41.2,42.3,42.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 18:00:00,Batang Station,C,3,ON,RUNNING_NORMAL,101.65,72.28,71.79,1517.4,312,0.507,0.377,0.442,0.457,0.372,0.456,0.526,0.47,0.489,0.475,0.398,0.523,0.526,43.6,34.8,52.5,59.3,59.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 18:00:00,Batang Station,D,4,OFF,OFF,101.65,72.28,0,1087.2,317,0.053,0.052,0.038,0.055,0.047,0.055,0.025,0.037,0.028,0.038,0.046,0.049,0.055,32.3,32.3,32.2,32.3,32.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 19:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,98.18,72.29,79.12,942.6,250,0.535,0.467,0.444,0.468,0.444,0.45,0.572,0.51,0.485,0.565,0.511,0.595,0.595,46.5,44.1,54.6,65.2,65.2,HEALTHY,,,,SYNTHETIC,
2025-08-01 19:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,98.18,72.29,76.41,1052.6,194,0.462,0.41,0.463,0.484,0.441,0.462,0.523,0.534,0.497,0.547,0.545,0.45,0.547,38.3,36.0,40.7,45.0,45.0,HEALTHY,,,,SYNTHETIC,
2025-08-01 19:00:00,Batang Station,C,3,OFF,OFF,98.18,72.29,0,1517.4,312,0.045,0.053,0.04,0.038,0.03,0.025,0.035,0.028,0.036,0.045,0.046,0.038,0.053,30.7,31.4,31.4,31.4,31.4,HEALTHY,,,,SYNTHETIC,
2025-08-01 19:00:00,Batang Station,D,4,OFF,OFF,98.18,72.29,0,1087.2,317,0.03,0.042,0.058,0.035,0.046,0.022,0.035,0.044,0.041,0.037,0.024,0.051,0.058,30.8,32.3,31.3,31.7,32.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 20:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,82.87,55.6,73.79,943.6,250,0.488,0.501,0.405,0.395,0.405,0.437,0.522,0.448,0.512,0.49,0.438,0.568,0.568,46.8,42.7,55.5,64.7,64.7,HEALTHY,,,,SYNTHETIC,
2025-08-01 20:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,82.87,55.6,64.38,1053.6,194,0.441,0.45,0.453,0.487,0.39,0.44,0.505,0.423,0.428,0.449,0.391,0.52,0.52,37.5,33.4,38.7,43.9,43.9,HEALTHY,,,,SYNTHETIC,
2025-08-01 20:00:00,Batang Station,C,3,OFF,OFF,82.87,55.6,0,1517.4,312,0.064,0.055,0.045,0.045,0.034,0.044,0.025,0.039,0.038,0.027,0.067,0.045,0.067,32.2,31.4,32.9,31.7,32.9,HEALTHY,,,,SYNTHETIC,
2025-08-01 20:00:00,Batang Station,D,4,OFF,OFF,82.87,55.6,0,1087.2,317,0.058,0.027,0.031,0.032,0.051,0.04,0.049,0.036,0.027,0.03,0.048,0.034,0.058,32.7,32.7,32.3,32.0,32.7,HEALTHY,,,,SYNTHETIC,
2025-08-01 21:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,78.57,51.62,69.21,944.6,250,0.49,0.462,0.398,0.382,0.4,0.486,0.506,0.427,0.422,0.485,0.368,0.534,0.534,48.5,42.6,53.3,61.7,61.7,HEALTHY,,,,SYNTHETIC,
2025-08-01 21:00:00,Batang Station,B,2,OFF,OFF,78.57,51.62,0,1053.6,194,0.036,0.048,0.035,0.031,0.038,0.041,0.034,0.041,0.061,0.019,0.029,0.037,0.061,31.3,32.6,32.2,31.6,32.6,HEALTHY,,,,SYNTHETIC,
2025-08-01 21:00:00,Batang Station,C,3,OFF,OFF,78.57,51.62,0,1517.4,312,0.042,0.04,0.067,0.045,0.024,0.055,0.036,0.038,0.041,0.048,0.042,0.046,0.067,31.7,33.0,31.7,33.1,33.1,HEALTHY,,,,SYNTHETIC,
2025-08-01 21:00:00,Batang Station,D,4,OFF,OFF,78.57,51.62,0,1087.2,317,0.041,0.034,0.046,0.051,0.042,0.052,0.049,0.022,0.044,0.038,0.04,0.034,0.052,30.9,32.4,31.7,32.2,32.4,HEALTHY,,,,SYNTHETIC,
2025-08-01 22:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,81.35,47.36,70.26,945.6,250,0.474,0.443,0.414,0.523,0.467,0.469,0.474,0.411,0.466,0.618,0.514,0.576,0.618,45.9,42.8,52.8,63.3,63.3,HEALTHY,,,,SYNTHETIC,
2025-08-01 22:00:00,Batang Station,B,2,ON,RUNNING_NORMAL,81.35,47.36,64.57,1054.6,195,0.471,0.425,0.477,0.417,0.415,0.469,0.529,0.426,0.473,0.543,0.376,0.432,0.543,37.0,35.8,40.9,43.2,43.2,HEALTHY,,,,SYNTHETIC,
2025-08-01 22:00:00,Batang Station,C,3,OFF,OFF,81.35,47.36,0,1517.4,312,0.033,0.043,0.043,0.044,0.027,0.038,0.035,0.054,0.037,0.045,0.032,0.032,0.054,30.9,31.6,31.0,30.7,31.6,HEALTHY,,,,SYNTHETIC,
2025-08-01 22:00:00,Batang Station,D,4,OFF,OFF,81.35,47.36,0,1087.2,317,0.051,0.031,0.052,0.025,0.039,0.044,0.046,0.023,0.038,0.046,0.054,0.03,0.054,31.3,32.3,31.7,32.7,32.7,HEALTHY,,,,SYNTHETIC,
2025-08-01 23:00:00,Batang Station,A,1,ON,RUNNING_NORMAL,70.83,37.67,60.43,946.6,250,0.434,0.358,0.448,0.429,0.402,0.41,0.611,0.42,0.331,0.528,0.387,0.529,0.611,47.0,39.5,55.9,62.5,62.5,HEALTHY,,,,SYNTHETIC,
